nome_evento,nome_luta,url
UFC 318: Holloway vs. Poirier 3,Max Holloway x Dustin Poirier,http://ufcstats.com/fight-details/d7507e2741fd4d05
UFC 318: Holloway vs. Poirier 3,Paulo Costa x Roman Kopylov,http://ufcstats.com/fight-details/23c963be9de38205
UFC 318: Holloway vs. Poirier 3,Daniel Rodriguez x Kevin Holland,http://ufcstats.com/fight-details/5dde61734080ac4a
UFC 318: Holloway vs. Poirier 3,Patricio Freire x Dan Ige,http://ufcstats.com/fight-details/acc961fd5cf5c62e
UFC 318: Holloway vs. Poirier 3,Michael Johnson x Daniel Zellhuber,http://ufcstats.com/fight-details/a95b03e9b5a91e47
UFC 318: Holloway vs. Poirier 3,Vinicius Oliveira x Kyler Phillips,http://ufcstats.com/fight-details/d2cb92fdf6a497e9
UFC 318: Holloway vs. Poirier 3,Brendan Allen x Marvin Vettori,http://ufcstats.com/fight-details/8e1feda9141602f1
UFC 318: Holloway vs. Poirier 3,Nikolay Veretennikov x Francisco Prado,http://ufcstats.com/fight-details/df2ed8b509fbdbdc
UFC 318: Holloway vs. Poirier 3,Ateba Gautier x Robert Valentin,http://ufcstats.com/fight-details/72e477b41f44e358
UFC 318: Holloway vs. Poirier 3,Islam Dulatov x Adam Fugitt,http://ufcstats.com/fight-details/37bc72d5d211b189
UFC 318: Holloway vs. Poirier 3,Jimmy Crute x Marcin Prachnio,http://ufcstats.com/fight-details/798652dbea086910
UFC 318: Holloway vs. Poirier 3,Ryan Spann x Lukasz Brzeski,http://ufcstats.com/fight-details/182ee320edb1b5ed
UFC 318: Holloway vs. Poirier 3,Brunno Ferreira x Jackson McVey,http://ufcstats.com/fight-details/74099d470e8d2765
UFC 318: Holloway vs. Poirier 3,Carli Judice x Nicolle Caliari,http://ufcstats.com/fight-details/a602c68147b752b2
